id	Series16_A549-ACE2_SARS-CoV-2_1	Series16_A549-ACE2_SARS-CoV-2_2	Series16_A549-ACE2_SARS-CoV-2_3	Series16_A549-ACE2_SARS-CoV-2_Rux_1	Series16_A549-ACE2_SARS-CoV-2_Rux_2	Series16_A549-ACE2_SARS-CoV-2_Rux_3
KCTD11	490	616	577	692	784	627
SLC39A9	406	404	378	653	627	481
VPS29	144	119	108	150	206	128
CIC	371	381	385	702	512	382
GSS	154	182	159	287	211	178
RAC2	3	0	0	0	2	3
SCP2	80	70	70	110	139	107
SPAG5	45	59	48	81	77	58
QRICH1	157	174	162	193	241	157
GIT1	108	142	124	257	184	157
EP300	551	499	443	760	690	537
FARSB	124	127	118	241	239	168
TNPO2	297	237	267	415	402	298
NOL11	520	593	632	837	932	661
EIF4E2	194	212	206	308	325	229
CPSF2	280	264	247	404	409	303
HMGB2	89	158	163	185	186	178
DVL1	127	132	166	244	150	126
BCCIP	422	496	420	595	596	462
LRRFIP2	344	334	361	551	532	413
RAP1B	306	338	369	462	488	401
SEMA7A	40	43	84	40	50	42
SUMO3	160	127	145	178	190	121
GGT1	178	163	181	339	242	198
IL18	112	124	98	159	179	134
RRP7A	177	197	210	236	229	176
COMT	107	126	97	169	124	85
PPIG	756	815	864	1161	1413	840
ZC3H14	371	441	425	590	610	433
E2F4	380	383	354	563	479	401
EPCAM	10	11	13	21	21	16
HKDC1	794	738	692	1015	684	538
DLG1	235	274	296	397	426	319
ULK1	160	218	232	380	259	178
VPS26A	322	367	338	487	551	398
MFSD10	66	71	64	121	95	65
CREBZF	615	714	809	1055	1032	747
COPS2	571	665	721	885	912	714
SMAD2	355	343	348	488	538	303
PPP1R12C	148	166	209	313	213	159
ESD	139	177	156	202	196	178
GAA	207	194	180	350	239	181
MRPS7	249	262	230	364	344	275
HMGN2	189	173	171	259	265	198
IFNGR2	468	541	534	817	769	553
CHORDC1	470	571	697	630	771	536
DDX39A	344	377	382	545	532	387
CHTOP	209	234	271	392	306	209
PIP4K2C	182	172	194	287	277	208
PGM1	195	193	189	245	232	212
U2AF1	430	414	475	569	639	438
GCLM	161	128	108	177	157	134
TRA2A	562	673	646	812	928	659
RABGGTB	537	568	574	744	883	553
SP3	735	734	840	1191	1187	809
HEATR1	355	336	338	567	520	425
EMC4	152	161	166	246	241	159
NADSYN1	509	545	540	864	833	623
TMEM165	176	216	227	204	214	185
PBX1	291	302	305	363	427	290
RBM47	242	235	226	361	280	214
KIDINS220	389	400	457	720	650	457
ATXN7L3	454	497	482	686	576	435
TCF12	461	376	380	570	548	461
PRSS8	1	1	3	2	2	1
DENND5A	521	553	544	602	634	465
MBOAT2	73	79	70	94	142	96
GPBP1L1	622	704	763	1041	1164	726
PI4K2A	288	270	255	446	374	292
RHOQ	329	281	324	448	388	335
AFF1	308	295	311	385	356	311
MICALL1	79	84	56	127	82	73
ZMYND8	291	339	320	373	406	262
ACO2	92	81	83	156	151	116
MKLN1	817	948	1053	1427	1355	1042
PEPD	133	153	138	207	193	155
ATP6V0D1	252	280	247	345	353	284
MRPS15	102	98	67	132	142	88
RNF6	1228	1399	1287	1990	1918	1494
PLCB3	126	140	133	271	179	144
OPA1	220	219	278	303	458	258
TXNDC12	71	91	99	142	121	99
TADA3	250	250	267	452	347	276
PTPRS	265	288	303	385	388	302
EXOSC10	144	181	183	242	264	150
ABHD12	177	171	187	311	267	194
PAK4	202	232	235	345	278	204
ELAVL1	170	187	203	319	345	251
EP400	194	189	182	365	287	227
SART1	175	191	194	333	291	211
NCBP2	222	223	222	309	346	266
AFAP1	154	166	170	203	201	160
CPSF6	408	421	457	659	712	538
TCF25	201	213	224	322	311	209
MYO5A	212	235	231	372	404	312
IL32	251	266	292	424	349	310
GTF3C2	203	210	185	279	288	227
ARL1	270	266	268	329	369	301
MYO9B	230	217	226	268	232	187
DNAJA3	282	296	288	486	420	296
KIF23	70	63	65	87	98	70
GPATCH8	1054	953	979	1517	1524	1121
SDHB	123	112	123	160	170	128
RAB8A	117	146	155	189	204	136
SDHC	207	198	175	313	308	237
LEPROT	173	186	161	239	260	185
EMC1	140	132	137	193	223	151
BLCAP	158	218	192	343	274	235
SPECC1	236	233	228	286	243	203
PLA2G16	141	194	176	228	218	166
SMPD4	205	262	239	387	323	223
DCAF6	209	227	197	305	358	246
TOX4	451	390	381	583	510	435
AGPS	143	215	189	290	278	231
ITPK1	177	188	163	251	196	168
CARS	279	273	258	507	440	310
ARHGEF18	177	217	200	220	198	167
YTHDF2	426	426	480	595	583	477
PPP5C	105	122	115	217	184	130
MAP2K3	374	414	418	693	541	416
STRA6	213	236	210	457	276	261
PFDN2	252	271	352	389	431	243
SEC23IP	252	293	282	424	414	341
MOB1A	223	240	242	297	298	231
VAMP8	41	35	25	65	53	53
CSF1	583	593	511	833	622	516
ERLEC1	192	186	188	212	217	189
METAP1	125	136	100	199	212	157
CYTH1	530	603	616	603	575	355
SCAMP3	200	215	212	368	290	247
MRPL37	92	69	66	111	103	85
TNRC6A	680	688	682	1131	1000	734
ROCK1	289	314	327	440	420	334
TAF10	221	240	232	351	298	265
KXD1	244	293	318	366	382	311
RIOK3	842	1026	1204	1360	1574	1063
PPT1	97	102	86	135	138	112
SEC14L1	256	264	248	391	411	272
IRAK2	1114	1115	1212	1652	1456	983
CD47	249	256	225	190	209	164
NR1H2	143	155	209	266	205	166
AHCTF1	284	363	302	505	508	377
GBP1	359	273	215	22	13	8
RNF7	314	366	324	450	440	347
TOMM22	219	227	192	347	298	240
MTOR	159	162	155	267	248	164
PHKB	158	143	165	288	273	211
PDCD4	87	89	92	136	149	91
GMPS	190	183	155	236	226	165
TMEM109	129	114	82	109	92	81
FAM98A	172	230	220	303	312	251
SBF1	120	105	107	197	118	114
SMC6	255	251	244	365	380	269
SCEL	2	1	3	12	7	9
DDRGK1	127	124	136	221	149	118
RAP2B	366	389	399	522	491	401
RAI1	193	207	211	399	277	180
C12orf57	91	84	75	123	73	62
FBXO11	808	816	864	1107	1186	927
MRPL24	96	122	93	200	173	156
RALGAPB	372	340	310	643	613	452
AP1G2	206	191	173	326	321	210
VPS37B	355	412	430	562	514	349
SARNP	451	592	581	816	936	540
ARGLU1	563	620	663	783	823	602
NLRP2	169	145	149	258	259	196
MIDN	199	215	180	196	210	167
SEMA3F	3	8	10	9	5	10
PHF23	527	531	442	859	716	604
JOSD1	211	222	230	288	271	227
POLDIP3	278	296	291	402	381	275
RALBP1	103	96	91	164	155	119
CCL20	1133	1200	1321	1110	839	591
TRAK1	235	243	237	412	358	276
WDR75	322	371	332	554	570	427
TM9SF1	150	142	133	207	184	149
CAMK2N1	200	207	204	267	291	168
TIMELESS	95	71	72	115	122	59
DHX30	174	208	187	286	270	189
YLPM1	268	251	234	372	437	282
RAD23A	196	223	215	357	291	210
RAB35	285	286	279	370	372	268
SPR	118	152	127	190	190	156
NAA15	464	431	466	642	689	546
ARHGAP29	104	126	130	232	219	179
UBASH3B	198	207	212	271	274	272
PLXNB1	120	102	108	174	132	107
NAT10	323	358	348	461	544	354
FEN1	123	117	99	156	155	132
ANAPC1	238	219	239	351	378	260
RHOT2	139	154	155	264	202	129
MYBBP1A	99	122	133	210	167	116
FAM136A	197	204	193	278	278	218
LARP4	541	621	673	766	804	639
ZC3H13	321	388	399	574	610	419
ATP6V0A1	484	474	510	793	732	505
SCAMP2	101	108	102	145	130	98
USP39	299	373	407	504	612	412
ITPRIPL2	304	294	237	394	339	281
CREBBP	508	502	572	799	748	530
ZFP91	332	329	371	530	481	423
DIP2B	285	266	249	355	332	271
ZMPSTE24	142	138	137	203	214	171
CEP170B	137	118	134	270	187	120
YES1	224	236	275	330	385	308
ERLIN1	240	287	281	356	404	281
GAK	151	149	176	257	201	148
AURKAIP1	58	67	57	86	89	53
C1QTNF1	636	664	684	964	683	532
N4BP1	443	421	370	361	280	242
IGFBP6	102	108	102	157	125	90
DDX47	647	790	774	1047	1047	818
CDK1	82	81	78	134	146	98
RAB5A	516	521	566	764	830	559
RAB31	148	148	131	124	137	92
NUDT5	144	148	111	174	168	140
UFC1	145	141	155	212	239	170
DNAJC13	212	180	153	300	282	212
PLEKHG3	210	204	234	438	294	232
ITPKC	207	223	225	428	260	248
RNF114	586	543	575	689	726	507
10-Sep	169	196	199	215	228	197
PDZD8	637	532	543	951	735	635
IP6K2	657	750	721	1052	1068	818
CMTM4	110	89	121	245	264	239
DOK4	131	134	108	230	239	140
RPS6KB1	584	616	623	845	779	649
RABEP1	459	407	401	670	705	485
STAMBP	252	270	271	400	431	276
SUGP2	204	191	179	343	315	235
HAS3	332	440	430	363	371	264
TSEN34	111	120	94	167	150	106
ABL2	1070	1072	1070	1427	1230	1053
BNIP2	509	607	667	860	945	675
SWAP70	362	411	480	706	692	506
H2AFJ	308	357	365	531	343	295
FKBP2	92	106	99	170	164	113
CCDC88A	606	673	707	783	785	640
HAX1	131	154	157	219	198	134
BRD7	378	361	344	477	578	343
INTS3	258	245	225	466	394	299
VEZF1	1038	1103	1098	1715	1528	1114
TMEM40	1	1	1	1	2	1
WDR33	388	443	468	715	669	497
ATP6V1D	480	626	547	763	856	623
MCM6	53	44	36	75	87	61
LRRC41	177	167	174	271	260	190
DSC2	50	57	68	103	95	66
DLGAP4	163	145	154	265	204	151
MICAL3	364	313	340	656	529	366
SNRPB2	366	371	448	533	613	421
ATMIN	295	314	270	515	453	364
TRIM44	273	284	263	336	335	251
TXNL1	223	241	248	315	344	246
OSTC	126	132	154	200	220	154
CDIPT	106	108	87	191	129	96
RNF181	271	313	366	412	463	313
WDR34	76	91	81	160	109	89
STEAP3	228	240	220	294	263	215
YEATS2	334	396	409	449	467	351
CSNK1G2	108	147	119	239	132	103
C15orf48	172	187	153	130	100	83
FRMD6	131	177	193	197	216	200
RBM12	448	484	519	569	612	462
SNRPE	248	288	281	367	471	297
PPRC1	358	373	321	621	542	399
DCAF5	499	524	505	704	662	519
CPSF3	172	161	175	241	297	202
DGCR2	77	67	65	132	89	98
TECR	47	35	41	56	56	48
CTBP1	118	119	122	248	174	136
DUSP16	1169	1211	1218	1444	1359	884
LDB1	199	205	215	355	292	246
HPGD	324	277	295	481	395	306
NDUFA11	57	64	69	119	99	56
CES2	295	263	254	392	354	297
PRMT2	133	131	145	174	206	136
PPP1R7	87	104	106	164	168	141
ARIH2	386	433	424	641	611	483
POLR2G	87	97	82	115	137	90
PHRF1	187	224	208	361	261	167
CSN3	0	0	0	0	0	0
USP24	409	412	428	651	685	477
FXR2	333	355	349	569	563	391
ZMYND11	147	149	168	266	280	221
ROMO1	72	68	48	87	58	48
S100A13	115	103	101	143	131	95
UBE2G2	152	168	179	206	229	146
CARHSP1	157	192	150	154	160	112
AGPAT3	146	113	130	177	170	120
TDP2	386	377	391	432	474	315
SART3	445	459	467	720	728	536
TCF3	75	83	102	159	107	77
MBP	237	277	235	340	310	233
ERC1	253	224	200	362	325	255
MMS19	187	200	227	353	381	297
ARL2BP	218	240	221	399	352	297
CTR9	347	417	490	625	661	532
ISCU	441	500	522	881	816	624
XPR1	156	151	142	180	179	142
ARFGEF2	433	441	391	790	743	552
PMM2	262	285	273	442	432	324
DHX8	323	299	235	400	375	289
PLCG1	125	126	130	231	229	161
ATF6	235	248	265	377	414	260
LONP2	249	218	235	322	329	241
HK2	553	912	1233	648	1213	776
FOSB	153	211	203	320	278	209
CHMP2B	420	451	572	697	714	498
PRKD2	448	432	361	343	273	193
KDM5A	706	796	722	952	1011	722
RFX5	290	240	236	301	239	242
TAOK2	223	237	234	455	375	273
UBE2G1	265	276	300	420	451	355
TMEM131	388	378	374	673	568	471
SPCS1	112	131	112	177	179	141
G6PC3	120	135	118	213	181	135
MGAT5	165	188	182	227	308	228
GABARAPL1	439	589	647	634	614	448
ATP9A	131	109	146	251	219	159
ZNF532	267	280	252	558	502	376
TPCN1	163	164	152	255	244	175
TMEM205	134	112	113	187	181	128
GPD2	205	176	170	220	193	174
ADSS	241	220	201	257	238	191
CLIP4	259	264	253	432	377	258
GID8	168	211	193	248	276	232
DCTD	147	154	159	215	214	165
ITPRIP	166	184	175	161	142	110
SETD3	193	197	170	310	297	208
DGKA	101	98	87	202	161	158
NTRK3	209	217	159	332	356	226
RFWD3	217	209	231	339	341	225
ITGB1BP1	153	126	159	197	201	175
SLC23A2	269	216	194	297	269	191
CCL5	91	68	36	41	32	26
NAE1	165	139	141	200	241	164
CYBRD1	125	136	126	192	206	133
SMARCA4	110	129	124	227	207	109
C14orf119	292	270	293	358	347	283
UBE2C	26	22	26	31	29	32
C19orf33	0	0	0	0	0	0
AQR	317	349	373	548	574	393
RBM5	568	555	498	836	748	592
PMAIP1	458	552	469	666	539	499
POLR1A	159	108	105	240	216	179
ELF1	340	364	397	478	520	395
TTC7A	248	253	197	306	254	182
C16orf58	92	98	99	154	134	94
PREPL	595	637	743	1075	1201	889
C19orf53	100	119	115	186	163	112
VPS13C	386	353	341	561	503	449
PRPF3	379	455	426	546	610	382
GNL2	198	208	231	308	355	226
MCM3AP	258	234	247	437	379	263
POGZ	681	650	670	987	1052	700
POLG	196	181	173	268	272	191
PPP3R1	520	599	758	886	948	733
HTT	201	274	203	425	409	271
MCM5	31	19	26	47	41	34
SKIL	574	601	769	911	888	694
ANAPC11	67	67	71	130	90	96
GALNT7	208	183	202	308	365	301
FNBP4	620	603	722	978	1018	611
CSRNP1	2147	2313	2493	2981	2789	2051
CLCN7	154	157	171	230	177	135
TUFT1	292	319	342	466	508	298
TNKS2	526	514	523	733	688	548
MYH14	47	48	46	81	76	42
RNF149	224	216	224	253	258	205
CTNNBL1	279	287	200	195	185	136
GJB3	4	10	6	5	5	4
CEP55	46	23	39	74	67	78
BIRC5	25	45	46	65	69	46
NUP160	364	381	341	463	485	344
CLCN3	333	343	360	556	517	405
KIF3B	330	297	263	518	399	388
TRPM7	552	516	547	906	832	635
PREB	103	90	102	183	185	152
WDFY1	270	302	309	445	354	305
MLLT11	276	264	323	421	471	340
DDX52	271	254	249	344	304	238
JMJD1C	866	850	913	1382	1332	907
TRAPPC3	107	125	114	205	176	124
TOR1AIP1	189	233	159	221	222	212
TMED5	264	277	287	292	351	261
IMP3	294	357	340	415	455	390
MXRA7	172	193	166	271	256	199
EDC4	211	231	185	332	288	211
TMEM106C	133	158	148	241	234	209
RRN3	436	455	517	659	878	525
PARVA	101	108	114	117	143	122
ACBD3	459	607	679	886	911	707
IGF2BP2	130	155	140	195	215	126
NUP107	192	190	187	290	336	247
MCM2	62	76	52	75	69	88
GUCD1	208	191	154	198	170	155
RIF1	704	686	750	966	967	690
EVPL	139	175	219	323	271	177
MRPL10	232	274	271	415	395	301
ATG16L1	412	457	431	642	654	478
RRP1B	148	146	121	208	205	172
PROCR	161	162	125	193	178	148
DUS1L	155	152	179	260	213	126
NDUFB3	126	180	139	199	230	177
LAMTOR5	221	249	232	341	371	265
ANKRD40	401	434	387	628	604	461
DSC3	12	15	10	30	24	27
FARSA	91	80	78	141	107	110
DOCK1	246	201	208	333	372	246
RACGAP1	43	37	61	78	75	62
UPF2	229	272	294	402	361	288
XPC	850	860	872	1403	1377	1063
AKAP1	138	130	146	263	273	223
GTF3A	179	177	163	251	263	180
CCDC50	483	489	562	664	739	539
GPRC5B	132	171	123	197	176	159
CXCL11	18	12	8	6	2	3
ARHGAP1	116	108	79	159	130	124
CKS1B	60	61	61	83	87	82
ZC3H18	187	202	211	327	305	208
NELFCD	74	74	74	125	147	98
FERMT2	712	712	807	766	733	567
DHX40	364	456	520	623	707	490
TOR1AIP2	542	615	621	868	748	618
SUPT4H1	265	267	291	415	381	266
ITFG1	222	201	180	280	277	223
MRPL19	128	159	153	241	230	179
LYPLA2	120	119	136	229	176	139
PPP1R12A	395	409	448	698	744	490
NDUFA12	138	116	143	169	187	124
NRAS	346	326	386	549	636	459
ARFIP2	222	232	248	383	336	252
PTPN14	181	169	176	353	250	229
ALS2CL	28	26	27	82	46	34
UAP1	97	117	112	125	151	104
DVL3	133	144	103	224	181	155
PTPN9	212	232	202	316	282	229
RHBDF2	151	160	132	285	205	169
NUAK2	827	878	775	1446	1148	813
TANK	990	1159	1121	1609	1491	1169
TWF2	102	104	112	232	168	145
ZFC3H1	1176	1270	1257	1765	1699	1247
ATAD1	483	523	570	879	916	577
TP53	205	204	218	387	328	287
BRMS1	116	115	129	192	163	127
YY1AP1	507	555	517	732	696	511
CYB5A	112	98	88	145	115	88
ASH1L	633	502	522	876	835	655
BAP1	184	160	163	327	260	193
CPT1A	303	281	260	460	413	354
SNX19	269	274	231	362	333	274
MRPL49	547	571	474	831	713	692
TMCO3	154	137	153	306	265	218
LRP6	420	390	462	699	649	506
NUP85	116	103	125	184	206	166
ZNF24	840	906	991	1308	1271	974
EIF4EBP2	133	125	121	158	183	135
FAM20B	120	121	125	198	195	140
POGK	304	276	243	489	467	353
RPS6KA4	103	104	92	139	105	70
ARHGEF2	159	160	150	261	203	156
OAZ2	217	258	249	371	328	257
ZMYM2	548	533	615	833	913	645
TCF20	197	216	194	322	326	236
FYTTD1	243	241	255	226	285	184
XPNPEP1	289	332	346	361	465	308
PCF11	1411	1531	1568	2190	2136	1524
UBQLN4	125	138	117	235	234	192
GOLGA5	225	275	251	436	427	304
IDH3A	131	163	141	202	272	169
UBA6	328	372	426	390	457	347
SMARCD1	284	279	244	385	357	266
SYNE2	238	194	173	266	200	158
IRF3	126	144	115	245	175	137
SRPRB	108	110	93	152	152	135
CASC4	221	189	223	264	296	226
BCR	65	69	60	117	92	77
MPDU1	175	152	146	236	220	166
ATXN1L	348	399	371	511	526	422
TTC17	228	259	227	334	313	214
UBXN6	133	125	122	194	124	110
TBCD	94	101	105	206	171	117
UTP6	331	379	338	468	488	367
CSNK1G1	867	889	882	1381	1343	1066
BNC1	0	1	1	0	2	0
FEZ2	246	247	273	360	410	309
USP32	387	401	416	652	616	451
CTDSP1	216	190	171	316	219	178
VAPB	242	307	363	449	488	326
GFM1	317	327	332	521	438	375
CSNK1E	166	208	194	283	258	194
EXOC5	318	324	339	514	477	421
TRIM22	279	235	139	23	8	15
NXF1	329	348	322	536	509	370
HIF1AN	203	212	186	253	265	184
GATAD2A	135	144	154	246	216	185
CDC20	30	38	22	25	24	33
KANSL3	244	255	234	317	313	242
SUPT7L	413	393	362	558	483	428
RBM15B	275	281	263	519	359	280
HMGA2	104	105	154	122	127	125
BLOC1S2	659	740	731	1051	972	807
FGFR4	32	26	25	82	59	46
DPP3	85	75	100	142	119	84
IL20RB	57	68	63	64	52	39
BIRC2	747	820	893	1202	1318	883
CNOT11	267	281	298	395	451	320
MTA1	146	157	146	269	177	143
MANBAL	148	149	144	241	208	171
ARHGAP23	64	67	71	101	89	55
PARN	300	305	288	415	400	287
TBC1D20	356	423	439	543	574	398
PI4KB	465	486	453	745	706	534
IKBIP	313	342	369	471	501	433
HDAC7	167	126	150	209	185	135
BTAF1	1076	1411	1653	1568	2162	1384
MYBL2	63	91	72	110	87	90
CFL2	735	754	777	1033	965	740
ADI1	87	106	80	154	151	126
KIF1B	291	266	255	433	430	320
MAPK8IP3	232	287	283	486	318	248
FAM162A	296	331	381	447	575	346
IPO4	95	68	74	152	108	117
NMD3	576	643	652	919	1023	733
PNPLA6	82	90	72	139	91	103
GPCPD1	835	903	1149	1387	1647	961
AURKA	47	63	42	55	71	65
ACTL6A	70	56	67	107	107	69
NUP50	237	252	249	301	365	276
TACC3	43	39	19	55	37	42
DHX36	522	515	636	817	858	561
PEF1	138	136	122	197	166	116
CEP170	294	303	323	374	360	290
NT5C3B	107	109	108	200	160	117
HSPBP1	50	51	54	62	72	64
PPFIA1	284	317	374	412	430	362
GMFB	426	516	659	732	886	621
STX4	355	395	436	661	593	397
NME1	163	189	162	276	263	218
RYK	196	194	217	282	251	194
AKT3	537	548	558	835	820	617
MZT2B	16	23	28	36	20	15
ALAS1	111	133	92	156	154	132
SCYL1	200	220	213	335	280	192
TOLLIP	148	148	158	264	200	158
ANAPC7	282	273	247	432	421	335
GRWD1	231	239	212	310	227	196
DUSP14	340	382	333	582	475	473
MED14	238	238	263	414	376	309
NEMF	456	486	616	861	846	666
LRP8	149	154	137	219	232	185
DOCK9	124	131	122	186	191	146
MRTO4	157	171	126	222	228	171
MPC2	115	101	110	152	151	104
BCAR3	140	146	132	185	161	113
SNRPA1	349	376	433	608	686	426
NXN	73	101	89	181	117	121
ASNA1	122	143	114	207	154	145
DGUOK	179	190	174	311	300	213
USP15	831	896	887	1191	1178	931
KCTD3	221	203	228	294	370	258
CDC42BPA	261	229	226	373	351	269
NDUFA9	178	163	138	123	130	84
DARS2	67	55	55	93	102	76
NFIC	100	128	122	215	164	131
LBR	86	85	91	138	175	136
SLIRP	104	142	125	174	153	132
MICAL2	111	109	111	176	205	121
GNPNAT1	111	96	124	188	200	164
POLE	117	123	83	171	166	147
UNC93B1	142	154	101	129	90	67
SMCR8	545	466	376	747	587	481
PLEKHM2	284	315	348	528	368	335
EHD4	203	226	219	140	130	101
LLGL2	53	53	54	163	101	80
TIMMDC1	90	114	82	153	137	114
CDR2L	261	272	240	365	320	215
TMX1	212	236	213	208	214	165
WDR11	221	224	215	347	310	231
GABARAPL2	348	368	320	535	558	414
PPARD	57	62	79	79	96	55
LRBA	187	145	146	267	206	184
MAP4K5	568	573	702	924	1020	681
SOAT1	99	110	82	105	106	79
TACC2	209	200	191	355	314	186
LETM1	86	96	103	162	167	133
PRPF38B	618	610	736	865	942	673
PHLDA2	20	38	17	46	24	23
TNS1	335	399	454	307	326	225
PYCR1	53	57	61	168	97	83
KANSL1	648	750	738	1086	930	740
OGFOD1	169	155	151	306	249	217
PLK1	36	46	41	85	63	44
NDUFAB1	125	132	120	163	164	134
JKAMP	184	184	174	265	236	184
UBE3A	311	291	332	471	542	388
SPTLC2	187	178	148	230	246	179
MYO1D	21	18	13	32	37	23
UBN1	198	199	209	299	304	249
KRTCAP2	119	138	126	169	148	108
JMJD6	744	961	1073	1068	1315	911
DAPK3	205	235	279	377	351	224
PCSK9	12	17	7	41	20	19
ADSL	121	132	112	210	196	176
ISG20	143	136	109	67	49	36
GPS2	181	215	186	294	281	235
SGSM2	226	242	226	414	312	244
PIK3C2A	406	410	429	580	601	437
CDC42EP1	52	65	52	97	53	58
RARRES1	141	112	113	60	56	38
TOB2	158	136	154	227	213	163
TERF2IP	542	533	574	839	861	609
REEP3	133	136	163	217	248	167
KIF22	40	45	36	60	48	49
ALDH9A1	123	125	85	119	151	127
UBAC2	151	175	160	233	225	199
ARID4B	1285	1219	1436	2005	2027	1434
PNMA1	475	512	413	682	633	505
ZZEF1	371	347	372	602	530	386
WDR61	158	151	170	220	266	179
HIP1R	130	117	148	181	150	109
DTD1	97	105	102	180	182	110
PBXIP1	58	55	68	89	80	63
TOPBP1	152	168	139	239	240	160
ANKRD27	200	257	210	388	371	242
LIPH	122	122	107	121	111	117
NR2F2	123	124	117	169	191	124
PDZK1IP1	49	60	51	14	14	11
ATP6V1A	270	287	368	513	474	370
DEF8	73	94	80	144	130	61
DNAJC3	328	328	367	417	431	316
PLEK2	57	58	51	58	54	32
ERCC3	199	181	175	288	306	199
VKORC1	117	156	125	179	160	146
SETD2	637	533	496	886	863	632
NDEL1	102	125	136	180	195	96
USP40	197	212	228	311	236	190
FBXO17	303	315	368	487	469	377
TMEM185B	278	284	259	429	373	307
MRPS23	186	201	225	384	325	257
ERLIN2	105	102	98	194	207	126
PLRG1	216	252	220	373	404	268
NUSAP1	59	70	60	104	81	78
STUB1	21	31	26	43	39	23
POMGNT1	129	123	94	170	193	142
CTCF	152	130	136	199	210	178
UTP18	188	201	237	297	280	196
IFFO2	315	346	333	399	418	328
DRAM1	430	479	507	655	583	524
ZNF281	1319	1293	1396	1998	1757	1348
TXN2	145	153	173	206	204	164
SLC4A7	155	152	177	314	275	254
PCED1B	377	414	374	446	349	292
IRF7	247	274	219	39	15	13
MLX	163	146	134	205	247	153
TAGLN	56	52	35	102	48	41
AFG3L2	177	171	169	244	244	189
OTUD4	343	321	344	446	441	315
STX6	187	182	205	302	299	273
RBM23	304	306	311	413	393	344
RRP12	288	311	317	478	437	317
DICER1	523	501	557	721	709	556
CIAPIN1	230	213	221	340	327	244
TRIM21	314	281	262	102	73	62
PELP1	270	303	313	537	410	298
BCL3	626	719	705	1376	1000	813
AP1M2	17	22	17	39	34	30
C8orf33	354	390	413	573	614	445
DEDD2	300	345	371	359	388	287
POP4	209	228	257	322	364	224
PDHB	109	124	95	154	151	110
CHD9	727	704	694	1176	1072	846
GSE1	304	358	328	523	470	354
DNAJC9	150	154	127	204	196	137
HSPA2	241	327	395	481	617	401
PLEKHA1	271	282	315	380	427	323
PFKM	147	190	154	278	272	192
ACAA1	119	127	141	129	153	94
RHOD	32	20	28	34	32	29
BICC1	341	304	301	508	495	380
PIM3	229	251	257	375	290	221
DESI1	136	133	109	178	177	122
NECAP2	189	188	191	257	261	196
STX16	525	507	611	761	723	576
CNOT2	401	446	471	597	720	446
MOV10	372	353	277	217	158	125
LEO1	223	256	280	399	430	258
TIA1	269	253	289	320	349	269
GTF3C3	309	344	346	446	499	379
IFI44	283	244	191	19	10	9
KEAP1	105	93	91	158	133	88
RTF1	206	221	270	316	350	243
CCDC137	375	342	398	581	496	395
ZWINT	28	45	29	33	27	49
CYB5R1	58	43	45	90	75	63
MAEA	95	102	120	199	176	135
RNF11	326	369	503	528	564	446
SH3D19	134	110	133	262	244	198
PRCP	116	95	123	176	193	121
NUP88	239	240	183	309	337	251
HAT1	338	340	346	453	499	326
MTIF2	165	201	208	293	316	229
SPDL1	229	244	251	383	327	280
MARVELD1	106	97	78	155	143	97
ZNF770	724	890	1223	1144	1411	1131
MPHOSPH10	517	556	609	828	977	661
BSDC1	217	201	178	347	334	214
PRR11	23	26	25	38	26	36
PAPSS1	51	54	35	83	78	61
H2AFX	23	24	27	47	19	21
DPM1	603	658	766	913	1051	700
TMEM33	242	225	211	271	269	232
INPP4B	60	67	71	134	129	99
SLC7A6	294	286	285	473	409	363
FAM177A1	196	199	187	289	278	185
BABAM1	79	105	79	121	112	93
BTBD10	271	284	269	418	398	306
MFSD12	121	128	91	79	72	46
FAM208A	356	332	336	570	525	393
MLXIP	107	127	116	146	147	106
SEC14L2	124	158	150	230	200	158
IRF9	280	307	302	158	119	90
NR2F6	90	64	78	121	119	88
SUZ12	530	631	714	897	996	752
NSRP1	1072	1128	1192	1772	1736	1114
TP53BP2	432	484	540	587	683	540
FNBP1L	177	217	197	261	326	230
MAFF	775	942	1133	1339	1545	961
IDE	147	175	146	282	269	201
ZSWIM8	352	404	423	503	409	334
MAN2B1	125	133	125	224	187	161
SOS1	303	265	279	364	435	300
AKR1A1	56	57	55	102	92	76
CDC16	196	237	226	355	354	258
PPHLN1	390	414	460	547	645	393
RBM6	201	209	242	395	395	269
TBC1D5	113	98	69	172	130	96
DNMBP	265	230	186	400	348	263
MAN2C1	157	138	153	242	235	138
EIF2AK4	216	188	164	336	312	230
TMEM8A	79	99	79	155	109	100
CMTM3	234	243	260	396	302	264
NIT2	97	126	101	178	171	145
KIAA1217	144	155	138	185	165	132
COMMD4	86	104	89	123	97	81
ERAL1	130	133	101	214	182	129
BCKDHA	222	264	317	430	397	269
DMKN	22	23	16	32	22	17
SPATS2	224	228	224	318	338	251
TMEM87A	204	179	174	221	266	160
APOL6	461	384	345	80	49	48
MRPL30	214	220	205	352	337	272
PRKCI	118	127	143	171	183	112
SLMAP	426	432	390	623	591	458
PMP22	257	265	280	345	339	225
ITPA	170	182	169	278	258	194
TTL	189	155	155	260	282	196
DDX60	368	300	260	82	47	35
EMC3	177	186	147	249	251	167
CHD1L	191	191	242	285	312	210
MIA3	195	199	192	265	268	194
TBC1D16	105	89	97	155	159	122
COPS7A	57	86	90	128	98	72
